[2020/11/04 05:44:36] start=0, train=78563, val=639, host=vod8ehdddd05-zk27c, batch=4
[2020/11/04 05:44:36] batch=8, config='MaskFlownet_DAM_ft.yaml', dataset_cfg='things3d.yaml', shard=1, gpu_device='0,1,2,3', checkpoint='0000_chairs_', clear_steps=True, network='MaskFlownet', debug=False, valid=False, predict=False, resize='', prefix='0000_things_'
[2020/11/04 05:45:06] steps=1, epe=33.20754973335641, loss=14.809720852349646, c_loss=14.288991792355166, disp_loss=0.0, combined_loss=20.525317950761433, total_time=0.00
[2020/11/04 05:46:39] steps=1, chairs=1.4255478382110596
[2020/11/04 05:46:39] steps=2, epe=19.642034830983285, loss=8.829736962167145, c_loss=8.55745301809918, disp_loss=0.0, combined_loss=12.252718404157417, total_time=122.99
[2020/11/04 05:46:40] steps=3, epe=14.48459747099819, loss=6.615272102565647, c_loss=6.459252477650836, disp_loss=0.0, combined_loss=9.198973195930744, total_time=60.28
[2020/11/04 05:46:40] steps=4, epe=13.290447932583035, loss=6.1727764595386905, c_loss=6.002868692505124, disp_loss=0.0, combined_loss=8.573924139801033, total_time=39.23
[2020/11/04 05:46:40] steps=5, epe=13.3612788991855, loss=6.303848675802784, c_loss=6.292371502738837, disp_loss=0.0, combined_loss=8.820797456311624, total_time=28.72
[2020/11/04 05:46:40] steps=6, epe=12.813745049931546, loss=6.058456700787486, c_loss=6.083236796309037, disp_loss=0.0, combined_loss=8.491751546861, total_time=22.42
[2020/11/04 05:46:40] steps=7, epe=12.4482833687341, loss=5.923240009486965, c_loss=6.006596871305771, disp_loss=0.0, combined_loss=8.325878896031956, total_time=18.24
[2020/11/04 05:46:41] steps=8, epe=11.112774982430258, loss=5.339203145789706, c_loss=5.4451033525664, disp_loss=0.0, combined_loss=7.517244636211303, total_time=15.25
[2020/11/04 05:46:41] steps=9, epe=11.240186552274094, loss=5.420898371043994, c_loss=5.552824957639645, disp_loss=0.0, combined_loss=7.6420285864622235, total_time=13.02
[2020/11/04 05:46:41] steps=10, epe=10.632642839675274, loss=5.14474506339011, c_loss=5.267033667308507, disp_loss=0.0, combined_loss=7.251558751547122, total_time=11.30
[2020/11/04 05:46:41] steps=11, epe=12.62851352102892, loss=6.117625309779907, c_loss=6.266914392802356, disp_loss=0.0, combined_loss=8.624391306714717, total_time=9.92
[2020/11/04 05:46:42] steps=12, epe=14.10505616345555, loss=6.7184103578393914, c_loss=6.817945664110195, disp_loss=0.0, combined_loss=9.445588608978978, total_time=8.80
[2020/11/04 05:46:42] steps=13, epe=13.846154664197424, loss=6.592543282839861, c_loss=6.683023794915616, disp_loss=0.0, combined_loss=9.265752885773828, total_time=7.86
[2020/11/04 05:46:42] steps=14, epe=13.13016679876446, loss=6.255254950205472, c_loss=6.341468690763776, disp_loss=0.0, combined_loss=8.791842517147316, total_time=7.08
[2020/11/04 05:46:42] steps=15, epe=12.257248081773213, loss=5.856507239665774, c_loss=5.938115258167442, disp_loss=0.0, combined_loss=8.231753425125367, total_time=6.41
