[2020/11/08 01:15:34] start=0, train=78563, val=639, host=ragebyfeatnowarpweight-nb48d, batch=4
[2020/11/08 01:15:34] batch=8, config='MaskFlownet_DAM_ft.yaml', dataset_cfg='things3d.yaml', shard=1, gpu_device='0,1,2,3', checkpoint='chairs_seed_2_', clear_steps=True, network='MaskFlownet', debug=False, valid=False, predict=False, resize='', prefix='things_seed_2_'
[2020/11/08 01:16:05] steps=1, epe=7.559971737567476, loss=3.8042935963665356, c_loss=3.934254608925851, disp_loss=0.0, combined_loss=5.377995439936876, total_time=0.00
[2020/11/08 01:17:44] steps=1, chairs=1.4393550157546997
[2020/11/08 01:17:45] steps=2, epe=4.85850356372053, loss=2.50013769655482, c_loss=2.601844396531379, disp_loss=0.0, combined_loss=3.5408754184875906, total_time=130.03
[2020/11/08 01:17:45] steps=3, epe=4.51531011844081, loss=2.296643403611664, c_loss=2.3637682248580036, disp_loss=0.0, combined_loss=3.2421505276439526, total_time=63.73
[2020/11/08 01:17:45] steps=4, epe=5.086410021201674, loss=2.598461892364977, c_loss=2.6322434970313062, disp_loss=0.0, combined_loss=3.651359169988016, total_time=41.47
[2020/11/08 01:17:45] steps=5, epe=7.734768187268922, loss=3.797520334415194, c_loss=3.874417374376404, disp_loss=0.0, combined_loss=5.34728710544791, total_time=30.36
[2020/11/08 01:17:46] steps=6, epe=10.792160874182606, loss=5.21495348339046, c_loss=5.325659854608009, disp_loss=0.0, combined_loss=7.345217208247475, total_time=23.71
[2020/11/08 01:17:46] steps=7, epe=15.545896581519756, loss=7.518195560430623, c_loss=8.051072429088514, disp_loss=0.0, combined_loss=10.738623971677733, total_time=19.28
[2020/11/08 01:17:46] steps=8, epe=16.32126329016676, loss=7.9471600769413255, c_loss=8.436447630135675, disp_loss=0.0, combined_loss=11.32173851018337, total_time=16.13
[2020/11/08 01:17:46] steps=9, epe=15.912328915445812, loss=7.7487940951692575, c_loss=8.20969422223828, disp_loss=0.0, combined_loss=11.032671287620577, total_time=13.77
[2020/11/08 01:17:47] steps=10, epe=15.998462426986274, loss=7.753758148024204, c_loss=8.150585115172115, disp_loss=0.0, combined_loss=11.013991723859007, total_time=11.94
[2020/11/08 01:17:47] steps=11, epe=15.639518342877265, loss=7.574479977593338, c_loss=7.9208569949139855, disp_loss=0.0, combined_loss=10.742822337734356, total_time=10.49
[2020/11/08 01:17:47] steps=12, epe=14.745688031375485, loss=7.147172826804572, c_loss=7.4472773789236975, disp_loss=0.0, combined_loss=10.12608338298931, total_time=9.30
[2020/11/08 01:17:47] steps=13, epe=14.221053940480282, loss=6.884201398044988, c_loss=7.171176760923596, disp_loss=0.0, combined_loss=9.752671728055738, total_time=8.32
[2020/11/08 01:17:48] steps=14, epe=13.632565305054635, loss=6.5934222004803456, c_loss=6.840575044499266, disp_loss=0.0, combined_loss=9.32965187114932, total_time=7.49
[2020/11/08 01:17:48] steps=15, epe=12.748354783917337, loss=6.177631499368637, c_loss=6.413457399001651, disp_loss=0.0, combined_loss=8.743014126408466, total_time=6.78
[2020/11/08 01:17:48] steps=16, epe=12.170038451092086, loss=5.947391167624977, c_loss=6.177844547232316, disp_loss=0.0, combined_loss=8.418528675139845, total_time=6.17
[2020/11/08 01:17:48] steps=17, epe=11.921015023716796, loss=5.797636315381067, c_loss=5.9952555449836815, disp_loss=0.0, combined_loss=8.195738281531797, total_time=5.64
[2020/11/08 01:17:49] steps=18, epe=11.4540469258381, loss=5.586791026199208, c_loss=5.780610277969224, disp_loss=0.0, combined_loss=7.899034938076297, total_time=5.18
[2020/11/08 01:17:49] steps=19, epe=10.733875521951727, loss=5.252557816464189, c_loss=5.437478031069436, disp_loss=0.0, combined_loss=7.427548857073833, total_time=4.77
[2020/11/08 01:17:49] steps=20, epe=10.625577345415095, loss=5.329552426501462, c_loss=5.52412034295716, disp_loss=0.0, combined_loss=7.53920037552582, total_time=4.41
[2020/11/08 01:17:57] steps=50, epe=10.70351425210639, loss=5.341406298537065, c_loss=5.50876814920936, disp_loss=0.0, combined_loss=7.5449134421765445, total_time=0.86
[2020/11/08 01:18:09] steps=100, epe=10.655135531561763, loss=5.31838781158997, c_loss=5.485256791910463, disp_loss=0.0, combined_loss=7.512490456131829, total_time=0.30
[2020/11/08 01:18:22] steps=150, epe=11.909602105971226, loss=5.820315593170013, c_loss=5.771069847933815, disp_loss=0.0, combined_loss=8.128743437797494, total_time=0.26
[2020/11/08 01:18:35] steps=200, epe=11.865305769812801, loss=5.778090347869092, c_loss=5.725745371231887, disp_loss=0.0, combined_loss=8.068388421962448, total_time=0.26
[2020/11/08 01:18:49] steps=250, epe=13.116365826942575, loss=6.314394620448108, c_loss=6.250402584957149, disp_loss=0.0, combined_loss=8.814555585179528, total_time=0.29
[2020/11/08 01:19:03] steps=300, epe=12.588257443611479, loss=6.105431242953148, c_loss=6.067359705419342, disp_loss=0.0, combined_loss=8.532375050859144, total_time=0.27
[2020/11/08 01:19:16] steps=350, epe=12.454311711455485, loss=6.025382980302254, c_loss=5.9946518020860955, disp_loss=0.0, combined_loss=8.423243638188755, total_time=0.25
[2020/11/08 01:19:29] steps=400, epe=11.767935114181766, loss=5.703174978528473, c_loss=5.679407786004844, disp_loss=0.0, combined_loss=7.974938030983835, total_time=0.26
[2020/11/08 01:19:42] steps=450, epe=11.32359640001912, loss=5.495825028842382, c_loss=5.479501787701963, disp_loss=0.0, combined_loss=7.687625670577541, total_time=0.27
[2020/11/08 01:19:55] steps=500, epe=11.2671922061224, loss=5.475887514471354, c_loss=5.4697972678173805, disp_loss=0.0, combined_loss=7.663806389351616, total_time=0.26
[2020/11/08 01:20:09] steps=550, epe=10.71564816682916, loss=5.217950902253298, c_loss=5.214901287414557, disp_loss=0.0, combined_loss=7.303911389992597, total_time=0.27
[2020/11/08 01:20:22] steps=600, epe=10.57663390317431, loss=5.163109525753503, c_loss=5.168317227281434, disp_loss=0.0, combined_loss=7.230436397041917, total_time=0.26
[2020/11/08 01:20:35] steps=650, epe=10.452715332104175, loss=5.115381943950046, c_loss=5.131540729710135, disp_loss=0.0, combined_loss=7.167998252475108, total_time=0.26
[2020/11/08 01:20:48] steps=700, epe=13.17677598063649, loss=6.391317506958388, c_loss=6.423841811640182, disp_loss=0.0, combined_loss=8.960854108560357, total_time=0.27
